"enabled","file","weapon_section","sound_key","source_sound","speed","output_sound","shared_references","notes"
"false","gamedata/config/weapons/w_1911.ltx","wpn_colt1911","snd_reload","weapons\colt\colt_reload","1.00","","1",""
"false","gamedata/config/weapons/w_1911.ltx","wpn_colt1911","snd_reload_empty","weapons\colt\colt_reload_empty","1.00","","1",""
"false","gamedata/config/weapons/w_1911.ltx","wpn_colt1911","snd_reload_jammed","weapons\glock\glock18_misfire","1.00","","8",""
"false","gamedata/config/weapons/w_abakan.ltx","wpn_abakan","snd_reload","weapons\abakan\abakan_reload","1.00","","2",""
"false","gamedata/config/weapons/w_abakan.ltx","wpn_abakan","snd_reload_empty","weapons\abakan\abakan_reload_empty","1.00","","2",""
"false","gamedata/config/weapons/w_abakan.ltx","wpn_abakan","snd_reload_jammed","weapons\abakan\abakan_misfire","1.00","","2",""
"false","gamedata/config/weapons/w_abakan.ltx","wpn_abakan","snd_reload_grenade","weapons\gp25_grenload","1.00","","4",""
"false","gamedata/config/weapons/w_ak_strelok_rem.ltx","wpn_ak74_m2","snd_reload","weapons\abakan\abakan_reload","1.00","","2",""
"false","gamedata/config/weapons/w_ak_strelok_rem.ltx","wpn_ak74_m2","snd_reload_empty","weapons\abakan\abakan_reload_empty","1.00","","2",""
"false","gamedata/config/weapons/w_ak_strelok_rem.ltx","wpn_ak74_m2","snd_reload_jammed","weapons\abakan\abakan_misfire","1.00","","2",""
"false","gamedata/config/weapons/w_ak_strelok_rem.ltx","wpn_ak74_m2","snd_reload_grenade","weapons\gp25_grenload","1.00","","4",""
"false","gamedata/config/weapons/w_ak_strelok_rem.ltx","wpn_ak74_m2","snd_reload_grenade","weapons\gp25\gp25_grenload","1.00","","2",""
"false","gamedata/config/weapons/w_ak103.ltx","wpn_ak104","snd_reload","weapons\ak74\ak74_reload","1.00","","3",""
"false","gamedata/config/weapons/w_ak104.ltx","wpn_aek971","snd_reload","weapons\ak74u\ak74u_reload","1.00","","1",""
"false","gamedata/config/weapons/w_ak104.ltx","wpn_aek971","snd_reload_empty","weapons\ak74u\ak74u_reload_empty","1.00","","1",""
"false","gamedata/config/weapons/w_ak104.ltx","wpn_aek971","snd_reload_jammed","weapons\ak74u\ak74u_misfire","1.00","","1",""
"false","gamedata/config/weapons/w_ak104.ltx","wpn_aek971","snd_reload_grenade","weapons\abakan\abakan_reload_gl","1.00","","1",""
"false","gamedata/config/weapons/w_ak74.ltx","wpn_ak74","snd_reload","weapons\ak74\ak74_reload","1.00","","3",""
"false","gamedata/config/weapons/w_ak74.ltx","wpn_ak74","snd_reload_empty","weapons\ak74\ak74_reload_empty","1.00","","1",""
"false","gamedata/config/weapons/w_ak74.ltx","wpn_ak74","snd_reload_jammed","weapons\ak74\ak74_misfire","1.00","","1",""
"false","gamedata/config/weapons/w_ak74.ltx","wpn_ak74","snd_reload_grenade","weapons\gp25_grenload","1.00","","4",""
"false","gamedata/config/weapons/w_apb.ltx","wpn_aps","snd_reload","weapons\pm\pm_reload","1.00","","3",""
"false","gamedata/config/weapons/w_apb.ltx","wpn_aps","snd_reload_empty","weapons\pm\pm_reload_empty","1.00","","3",""
"false","gamedata/config/weapons/w_apb.ltx","wpn_aps","snd_reload_jammed","weapons\pm\pm_misfire","1.00","","3",""
"false","gamedata/config/weapons/w_awm.ltx","wpn_awm","snd_reload","weapons\awm\awm_reload","1.00","","1",""
"false","gamedata/config/weapons/w_awm.ltx","wpn_awm","snd_reload_empty","weapons\awm\awm_reload_empty","1.00","","1",""
"false","gamedata/config/weapons/w_awm.ltx","wpn_awm","snd_reload_misfire","weapons\awm\awm_misfire","1.00","","1",""
