"enabled","file","hud_section","group","show_speed","hide_speed","notes"
"true","gamedata/config/weapons/w_1911.ltx","wpn_colt1911_hud","w_1911","1.17","1.14",""
"true","gamedata/config/weapons/w_abakan.ltx","wpn_abakan_hud","w_abakan","0.97","0.99",""
"true","gamedata/config/weapons/w_abakan.ltx","wpn_abakan_ekp_hud","w_abakan","0.95","0.98",""
"true","gamedata/config/weapons/w_abakan.ltx","wpn_abakan_okp_hud","w_abakan","0.95","0.98",""
"true","gamedata/config/weapons/w_abakan.ltx","wpn_abakan_rakurs_hud","w_abakan","0.94","0.97",""
"true","gamedata/config/weapons/w_abakan.ltx","wpn_abakan_1p78_hud","w_abakan","0.92","0.96",""
"true","gamedata/config/weapons/w_abakan.ltx","wpn_abakan_pso_hud","w_abakan","0.93","0.96",""
"true","gamedata/config/weapons/w_ak_strelok.ltx","wpn_ak74_m1_ac10632_hud","w_ak_strelok","1.01","1.00",""
"true","gamedata/config/weapons/w_ak_strelok.ltx","wpn_ak74_m1_eot_hud","w_ak_strelok","1.00","1.00",""
"true","gamedata/config/weapons/w_ak_strelok.ltx","wpn_ak74_m1_microt1_hud","w_ak_strelok","1.01","1.01",""
"true","gamedata/config/weapons/w_ak_strelok.ltx","wpn_ak74_m1_specter_hud","w_ak_strelok","0.98","0.98",""
"true","gamedata/config/weapons/w_ak_strelok_rem.ltx","wpn_ak74_m2_hud","w_ak_strelok_rem","1.02","1.01",""
"true","gamedata/config/weapons/w_ak_strelok_rem.ltx","wpn_ak12_ac10632_hud","w_ak_strelok_rem","1.00","0.99",""
"true","gamedata/config/weapons/w_ak_strelok_rem.ltx","wpn_ak12_eot_hud","w_ak_strelok_rem","0.99","0.99",""
"true","gamedata/config/weapons/w_ak_strelok_rem.ltx","wpn_ak12_microt1_hud","w_ak_strelok_rem","1.00","1.00",""
"true","gamedata/config/weapons/w_ak_strelok_rem.ltx","wpn_ak12_specter_hud","w_ak_strelok_rem","0.97","0.97",""
"true","gamedata/config/weapons/w_ak_strelok_rem.ltx","wpn_ak74_m2_ready_hud","w_ak_strelok_rem","1.02","1.01",""
"true","gamedata/config/weapons/w_ak103.ltx","wpn_ak104_hud","w_ak103","0.99","1.00",""
"true","gamedata/config/weapons/w_ak103.ltx","wpn_ak103_ekp_hud","w_ak103","0.97","0.99",""
"true","gamedata/config/weapons/w_ak103.ltx","wpn_ak103_okp_hud","w_ak103","0.97","0.99",""
"true","gamedata/config/weapons/w_ak103.ltx","wpn_ak103_rakurs_hud","w_ak103","0.95","0.98",""
"true","gamedata/config/weapons/w_ak103.ltx","wpn_ak103_1p78_hud","w_ak103","0.94","0.97",""
"true","gamedata/config/weapons/w_ak103.ltx","wpn_ak103_pso_hud","w_ak103","0.95","0.97",""
"true","gamedata/config/weapons/w_ak104.ltx","wpn_aek971_hud","w_ak104","1.02","1.01",""
"true","gamedata/config/weapons/w_ak104.ltx","wpn_ak74u_snag_ac10632_hud","w_ak104","1.01","1.00",""
"true","gamedata/config/weapons/w_ak104.ltx","wpn_ak74u_snag_eot_hud","w_ak104","1.00","1.00",""
"true","gamedata/config/weapons/w_ak104.ltx","wpn_ak74u_snag_microt1_hud","w_ak104","1.01","1.01",""
"true","gamedata/config/weapons/w_ak104.ltx","wpn_ak74u_snag_ekp_hud","w_ak104","1.00","1.00",""
"true","gamedata/config/weapons/w_ak104.ltx","wpn_ak74u_snag_okp_hud","w_ak104","1.00","1.00",""
"true","gamedata/config/weapons/w_ak104.ltx","wpn_ak74u_snag_rakurs_hud","w_ak104","0.98","0.99",""
